ancestralTime	evaluationTime	mean_time	propDescendantsFromIntroductionsAtEval_lower	propDescendantsFromIntroductionsAtEval_upper	propDescendantsFromIntroductionsAtEval_median
2021.0	2021.0821917808219	2021.0410958904108	0.0	1.0	1.0
2021.0849315068492	2021.158904109589	2021.1219178082192	0.0	1.0	0.5
2021.1616438356164	2021.2438356164384	2021.2027397260274	0.0	1.0	0.3333333333333333
2021.2465753424658	2021.3260273972603	2021.286301369863	0.0	0.4444444444444444	0.18181818181818182
2021.3287671232877	2021.4109589041095	2021.3698630136987	0.0	0.358974358974359	0.15384615384615385
2021.4136986301369	2021.4931506849316	2021.4534246575342	0.0	0.14545454545454545	0.03409090909090909
2021.495890410959	2021.5780821917808	2021.5369863013698	0.0	0.042682926829268296	0.013071895424836602
2021.5808219178082	2021.66301369863	2021.6219178082192	0.0	0.050505050505050504	0.02040816326530612
2021.6657534246576	2021.7452054794521	2021.705479452055	0.0	0.05454545454545454	0.01818181818181818
2021.7479452054795	2021.8301369863013	2021.7890410958903	0.0	0.03636363636363636	0.0
2021.8328767123287	2021.9123287671232	2021.872602739726	0.0	0.058823529411764705	0.0
2021.9150684931508	2021.9972602739726	2021.9561643835618	0.0	0.0	0.0
